model,model_family,variant,schedule,train_step,lr,train_loss,condition,role,accuracy,n_trials,n_correct,provenance_tier,source_file,notes
gpt2-small,GPT-2,scratch_cosine,cosine,1000,0.0005997534002026165,1.0108766924962402,ALL,,0.21088235294117647,10200,2151,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step1000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,3000,0.0005911696130205379,1.0002513545006513,IVQ,intermediate,0.19348484848484848,6600,1277,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step3000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,4000,0.0005823756015288443,1.0046272728964687,ALL,,0.22764705882352942,10200,2322,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step4000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,4000,0.0005823756015288443,1.0046272728964687,FVQ,first,0.2811111111111111,1800,506,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step4000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,4000,0.0005823756015288443,1.0046272728964687,CVQ,last,0.285,1800,513,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step4000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,4000,0.0005823756015288443,1.0046272728964687,IVQ,intermediate,0.19742424242424242,6600,1303,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step4000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,5000,0.0005707026065972281,0.998256671205163,ALL,,0.22686274509803922,10200,2314,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step5000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,5000,0.0005707026065972281,0.998256671205163,FVQ,first,0.2861111111111111,1800,515,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step5000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,5000,0.0005707026065972281,0.998256671205163,CVQ,last,0.2811111111111111,1800,506,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step5000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,5000,0.0005707026065972281,0.998256671205163,IVQ,intermediate,0.19590909090909092,6600,1293,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step5000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,6000,0.0005562837883207969,0.9938685735315085,ALL,,0.23333333333333334,10200,2380,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step6000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,6000,0.0005562837883207969,0.9938685735315085,FVQ,first,0.28444444444444444,1800,512,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step6000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,6000,0.0005562837883207969,0.9938685735315085,CVQ,last,0.285,1800,513,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step6000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,6000,0.0005562837883207969,0.9938685735315085,IVQ,intermediate,0.2053030303030303,6600,1355,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step6000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,7000,0.000539283629869832,0.9975618136674166,ALL,,0.23176470588235293,10200,2364,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step7000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,7000,0.000539283629869832,0.9975618136674166,FVQ,first,0.2777777777777778,1800,500,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step7000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,7000,0.000539283629869832,0.9975618136674166,CVQ,last,0.2877777777777778,1800,518,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step7000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,7000,0.000539283629869832,0.9975618136674166,IVQ,intermediate,0.20393939393939395,6600,1346,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step7000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,8000,0.0005198960611423102,0.9999328456819058,ALL,,0.23107843137254902,10200,2357,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step8000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,8000,0.0005198960611423102,0.9999328456819058,FVQ,first,0.2827777777777778,1800,509,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step8000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,8000,0.0005198960611423102,0.9999328456819058,CVQ,last,0.28833333333333333,1800,519,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step8000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,8000,0.0005198960611423102,0.9999328456819058,IVQ,intermediate,0.20136363636363636,6600,1329,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step8000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,9000,0.000498342246501858,0.9928820174559951,ALL,,0.2292156862745098,10200,2338,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step9000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,9000,0.000498342246501858,0.9928820174559951,FVQ,first,0.2833333333333333,1800,510,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step9000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,9000,0.000498342246501858,0.9928820174559951,CVQ,last,0.28833333333333333,1800,519,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step9000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,9000,0.000498342246501858,0.9928820174559951,IVQ,intermediate,0.19833333333333333,6600,1309,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step9000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,10000,0.0004748680618375909,0.9840807981044054,ALL,,0.22970588235294118,10200,2343,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step10000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,10000,0.0004748680618375909,0.9840807981044054,FVQ,first,0.28944444444444445,1800,521,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step10000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,10000,0.0004748680618375909,0.9840807981044054,CVQ,last,0.2822222222222222,1800,508,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step10000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,10000,0.0004748680618375909,0.9840807981044054,IVQ,intermediate,0.1990909090909091,6600,1314,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step10000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,11000,0.00044974128972636955,0.9913354118913412,ALL,,0.23352941176470587,10200,2382,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step11000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,11000,0.00044974128972636955,0.9913354118913412,FVQ,first,0.29,1800,522,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step11000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,11000,0.00044974128972636955,0.9913354118913412,CVQ,last,0.2733333333333333,1800,492,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step11000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,11000,0.00044974128972636955,0.9913354118913412,IVQ,intermediate,0.20727272727272728,6600,1368,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step11000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,12000,0.000423248564693753,0.98108343180269,ALL,,0.2311764705882353,10200,2358,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step12000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,12000,0.000423248564693753,0.98108343180269,FVQ,first,0.2833333333333333,1800,510,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step12000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,12000,0.000423248564693753,0.98108343180269,CVQ,last,0.2816666666666667,1800,507,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step12000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,12000,0.000423248564693753,0.98108343180269,IVQ,intermediate,0.20318181818181819,6600,1341,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step12000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,13000,0.0003956921034206933,0.9794774470105767,ALL,,0.2365686274509804,10200,2413,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step13000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,13000,0.0003956921034206933,0.9794774470105767,FVQ,first,0.3038888888888889,1800,547,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step13000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,13000,0.0003956921034206933,0.9794774470105767,CVQ,last,0.2927777777777778,1800,527,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step13000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,13000,0.0003956921034206933,0.9794774470105767,IVQ,intermediate,0.20287878787878788,6600,1339,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step13000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,14000,0.00036738625719625093,0.8918722721189261,ALL,,0.2950980392156863,10200,3010,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step14000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,14000,0.00036738625719625093,0.8918722721189261,FVQ,first,0.6138888888888889,1800,1105,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step14000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,14000,0.00036738625719625093,0.8918722721189261,CVQ,last,0.3011111111111111,1800,542,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step14000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,14000,0.00036738625719625093,0.8918722721189261,IVQ,intermediate,0.2065151515151515,6600,1363,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step14000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,15000,0.0003386539259443469,0.8537086371518672,ALL,,0.3211764705882353,10200,3276,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step15000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,15000,0.0003386539259443469,0.8537086371518672,FVQ,first,0.7177777777777777,1800,1292,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step15000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,15000,0.0003386539259443469,0.8537086371518672,CVQ,last,0.3011111111111111,1800,542,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step15000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,15000,0.0003386539259443469,0.8537086371518672,IVQ,intermediate,0.21848484848484848,6600,1442,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step15000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,16000,0.0003098228747316654,0.8086121352715417,ALL,,0.3418627450980392,10200,3487,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step16000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,16000,0.0003098228747316654,0.8086121352715417,FVQ,first,0.7894444444444444,1800,1421,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step16000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,16000,0.0003098228747316654,0.8086121352715417,CVQ,last,0.31333333333333335,1800,564,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step16000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,16000,0.0003098228747316654,0.8086121352715417,IVQ,intermediate,0.22757575757575757,6600,1502,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step16000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,17000,0.0002812219947762723,0.7792856411694083,ALL,,0.3596078431372549,10200,3668,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step17000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,17000,0.0002812219947762723,0.7792856411694083,FVQ,first,0.8138888888888889,1800,1465,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step17000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,17000,0.0002812219947762723,0.7792856411694083,CVQ,last,0.33111111111111113,1800,596,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step17000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,17000,0.0002812219947762723,0.7792856411694083,IVQ,intermediate,0.2434848484848485,6600,1607,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step17000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,18000,0.00025317755160962125,0.7254355919623049,ALL,,0.38607843137254905,10200,3938,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step18000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,18000,0.00025317755160962125,0.7254355919623049,FVQ,first,0.8505555555555555,1800,1531,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step18000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,18000,0.00025317755160962125,0.7254355919623049,CVQ,last,0.345,1800,621,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step18000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,18000,0.00025317755160962125,0.7254355919623049,IVQ,intermediate,0.2706060606060606,6600,1786,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step18000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,19000,0.00022600946319117243,0.6856768057993031,ALL,,0.3992156862745098,10200,4072,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step19000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,19000,0.00022600946319117243,0.6856768057993031,FVQ,first,0.8666666666666667,1800,1560,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step19000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,19000,0.00022600946319117243,0.6856768057993031,CVQ,last,0.38333333333333336,1800,690,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step19000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,19000,0.00022600946319117243,0.6856768057993031,IVQ,intermediate,0.27606060606060606,6600,1822,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step19000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,20000,0.0002000276504331587,0.6349128001142526,ALL,,0.46490196078431373,10200,4742,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step20000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,20000,0.0002000276504331587,0.6349128001142526,FVQ,first,0.8833333333333333,1800,1590,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step20000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,20000,0.0002000276504331587,0.6349128001142526,CVQ,last,0.4483333333333333,1800,807,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step20000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,20000,0.0002000276504331587,0.6349128001142526,IVQ,intermediate,0.3553030303030303,6600,2345,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step20000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,21000,0.00017552850176701424,0.5250948677884298,ALL,,0.5494117647058824,10200,5604,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step21000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,21000,0.00017552850176701424,0.5250948677884298,FVQ,first,0.8938888888888888,1800,1609,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step21000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,21000,0.00017552850176701424,0.5250948677884298,CVQ,last,0.5444444444444444,1800,980,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step21000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,21000,0.00017552850176701424,0.5250948677884298,IVQ,intermediate,0.45681818181818185,6600,3015,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step21000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,22000,0.0001527914920820501,0.39242110547027553,ALL,,0.6331372549019608,10200,6458,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step22000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,22000,0.0001527914920820501,0.39242110547027553,FVQ,first,0.8916666666666667,1800,1605,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step22000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,22000,0.0001527914920820501,0.39242110547027553,CVQ,last,0.6483333333333333,1800,1167,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step22000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,22000,0.0001527914920820501,0.39242110547027553,IVQ,intermediate,0.5584848484848485,6600,3686,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step22000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,23000,0.00013207599460594694,0.33646695406350774,ALL,,0.6692156862745098,10200,6826,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step23000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,23000,0.00013207599460594694,0.33646695406350774,FVQ,first,0.8977777777777778,1800,1616,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step23000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,23000,0.00013207599460594694,0.33646695406350774,CVQ,last,0.7433333333333333,1800,1338,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step23000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,23000,0.00013207599460594694,0.33646695406350774,IVQ,intermediate,0.5866666666666667,6600,3872,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step23000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,24000,0.00011361832209565173,0.31416752733435716,ALL,,0.7311764705882353,10200,7458,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step24000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,24000,0.00011361832209565173,0.31416752733435716,FVQ,first,0.9061111111111111,1800,1631,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step24000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,24000,0.00011361832209565173,0.31416752733435716,CVQ,last,0.8011111111111111,1800,1442,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step24000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,24000,0.00011361832209565173,0.31416752733435716,IVQ,intermediate,0.6643939393939394,6600,4385,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step24000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,25000,9.762903109139561e-05,0.2557138659941847,ALL,,0.7580392156862745,10200,7732,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step25000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,25000,9.762903109139561e-05,0.2557138659941847,FVQ,first,0.8988888888888888,1800,1618,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step25000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,25000,9.762903109139561e-05,0.2557138659941847,CVQ,last,0.8311111111111111,1800,1496,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step25000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,25000,9.762903109139561e-05,0.2557138659941847,IVQ,intermediate,0.6996969696969697,6600,4618,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step25000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,26000,8.429051998564804e-05,0.22158713372133207,ALL,,0.7755882352941177,10200,7911,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step26000.json,chance 0.10; lr/loss from train_log.json
