model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,query_word,n_trials,accuracy_single_token,accuracy_generate,scoring_agreement,n_generate,n_wrong,wrong_frac,topped_up_from,exact,wrong_slot_same_key,other_key_value,off_pool,multi_word,empty,provenance_tier,source_file
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,CVQ,ordinal,k10,10,10th,1400,0.041428571428571426,0.025,1.0,40,1342,0.9585714285714286,,58,1341,0,1,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,CVQ,semantic,CVQ,10,last,3700,0.6621739130434783,0.725,1.0,40,1258,0.3378260869565217,1400,2442,1225,24,9,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,1st,4771,0.6737120211360634,0.6875,0.9625,80,1496,0.32628797886393657,2500,3275,1270,27,199,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,semantic,FVQ,1,first,5165,0.6859287054409006,0.7,0.9625,80,1532,0.31407129455909943,2500,3633,1303,27,202,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,IVQ,ordinal,k2,2,2nd,2200,0.32727272727272727,0.3,1.0,40,1480,0.6727272727272727,,720,1472,4,4,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,IVQ,ordinal,k3,3,3rd,2000,0.2095,0.225,1.0,40,1581,0.7905,,419,1568,7,6,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,IVQ,ordinal,k4,4,4th,1700,0.09352941176470589,0.15,1.0,40,1541,0.9064705882352941,,159,1537,1,3,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,CVQ,ordinal,k5,5,5th,1900,0.08105263157894736,0.025,1.0,40,1746,0.9189473684210526,,154,1727,14,5,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,CVQ,semantic,CVQ,5,last,3858,0.6838610827374872,0.75,1.0,80,1239,0.31613891726251275,1900,2619,1214,17,8,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,1st,2500,0.9916,1.0,1.0,40,21,0.008399999999999963,,2479,10,10,1,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,semantic,FVQ,1,first,2500,0.9912,1.0,1.0,40,22,0.00880000000000003,,2478,13,9,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k2,2,2nd,2700,0.43,0.425,1.0,40,1539,0.5700000000000001,,1161,1536,3,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k3,3,3rd,2600,0.008076923076923077,0.0,1.0,40,2579,0.9919230769230769,,21,2579,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k4,4,4th,2600,0.0007692307692307692,0.0,1.0,40,2598,0.9992307692307693,,2,2598,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k5,5,5th,1300,0.002307692307692308,0.0,1.0,40,1297,0.9976923076923077,,3,1297,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k6,6,6th,1350,0.0,0.0,1.0,40,1350,1.0,,0,1350,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k7,7,7th,1350,0.013333333333333334,0.0,1.0,40,1332,0.9866666666666667,,18,1332,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k8,8,8th,1350,0.017037037037037038,0.025,1.0,40,1327,0.9829629629629629,,23,1327,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k9,9,9th,1350,0.025185185185185185,0.025,1.0,40,1316,0.9748148148148148,,34,1316,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,CVQ,ordinal,k10,10,10th,1411,0.09836065573770492,0.075,1.0,80,1252,0.9016393442622951,1350,159,1251,0,1,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,CVQ,semantic,CVQ,10,last,8648,0.8526365348399246,0.8875,1.0,80,1262,0.14736346516007537,4400,7386,1215,47,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,1st,1250,0.9904,0.975,1.0,40,12,0.009600000000000053,,1238,6,6,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/manifest.json
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,semantic,FVQ,1,first,1250,0.992,1.0,1.0,40,10,0.008000000000000007,,1240,6,4,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/manifest.json
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,2nd,3000,0.3546666666666667,0.35,1.0,40,1936,0.6453333333333333,,1064,1929,7,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/manifest.json
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k3,3,3rd,3000,0.012666666666666666,0.025,1.0,40,2962,0.9873333333333333,,38,2962,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/manifest.json
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k4,4,4th,2200,0.0013636363636363637,0.0,1.0,40,2197,0.9986363636363637,,3,2195,2,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/manifest.json
gemma-3-4b-it,Gemma-3,base,10,5,CVQ,ordinal,k5,5,5th,3000,0.0036666666666666666,0.025,1.0,40,2989,0.9963333333333333,,11,2988,1,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/manifest.json
gemma-3-4b-it,Gemma-3,base,10,5,CVQ,semantic,CVQ,5,last,15369,0.9202037351443124,0.9375,1.0,80,1232,0.07979626485568758,3000,14137,1118,113,1,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/manifest.json
