theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,CVQ,semantic,last,0.8929,,0.845,0.9407,0.0479,168,150,0,0.8929,"{""correct"": 150, ""in_sequence"": 3, ""out_of_context"": 15}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,FVQ,ordinal,1,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,2,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,3,0.725,,0.6634,0.7866,0.0616,200,145,0,0.725,"{""correct"": 145, ""in_sequence"": 55}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,4,0.33,,0.2653,0.3947,0.0647,200,66,0,0.33,"{""correct"": 66, ""in_sequence"": 134}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,5,0.0278,,0.0,0.0776,0.0498,72,2,0,0.0278,"{""correct"": 2, ""in_sequence"": 70}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,6,0.0156,,0.0,0.0639,0.0483,64,1,0,0.0156,"{""correct"": 1, ""in_sequence"": 63}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,7,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,8,0.0156,,0.0,0.0639,0.0483,64,1,0,0.0156,"{""correct"": 1, ""in_sequence"": 63}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,10,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,11,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 55, ""out_of_context"": 1}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,13,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,14,0.0156,,0.0,0.0639,0.0483,64,1,0,0.0156,"{""correct"": 1, ""in_sequence"": 63}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,16,0.0156,,0.0,0.0639,0.0483,64,1,0,0.0156,"{""correct"": 1, ""in_sequence"": 63}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,17,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,19,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,CVQ,ordinal,20,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,CVQ,semantic,last,0.8,,0.7445,0.8555,0.0555,200,160,0,0.8,"{""correct"": 160, ""in_sequence"": 4, ""out_of_context"": 36}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,FVQ,ordinal,1,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,2,0.9844,,0.9361,1.0,0.0483,64,63,0,0.9844,"{""correct"": 63, ""in_sequence"": 1}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,3,0.69,,0.6263,0.7537,0.0637,200,138,0,0.69,"{""correct"": 138, ""in_sequence"": 62}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,4,0.3,,0.2369,0.3631,0.0631,200,60,0,0.3,"{""correct"": 60, ""in_sequence"": 140}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,5,0.0341,,0.0,0.0801,0.0461,88,3,1,0.0345,"{""correct"": 3, ""garbage"": 1, ""in_sequence"": 84}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,6,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,7,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,8,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 54, ""out_of_context"": 2}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,14,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 55, ""out_of_context"": 1}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,20,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,26,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,31,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,37,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,43,0.0,,0.0,0.0447,0.0447,56,0,1,0.0,"{""garbage"": 1, ""in_sequence"": 55}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,49,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,CVQ,ordinal,50,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,CVQ,semantic,last,0.66,,0.5948,0.7252,0.0652,200,132,0,0.66,"{""correct"": 132, ""in_sequence"": 4, ""out_of_context"": 64}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,FVQ,ordinal,1,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,2,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,3,0.8,,0.7445,0.8555,0.0555,200,160,0,0.8,"{""correct"": 160, ""in_sequence"": 40}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,4,0.38,,0.3133,0.4467,0.0667,200,76,0,0.38,"{""correct"": 76, ""in_sequence"": 124}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,5,0.1302,,0.082,0.1784,0.0482,192,25,0,0.1302,"{""correct"": 25, ""in_sequence"": 167}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,6,0.0781,,0.0292,0.1271,0.049,128,10,0,0.0781,"{""correct"": 10, ""in_sequence"": 118}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,7,0.075,,0.0251,0.1249,0.0499,120,9,0,0.075,"{""correct"": 9, ""in_sequence"": 111}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,8,0.0667,,0.0189,0.1145,0.0478,120,8,0,0.0667,"{""correct"": 8, ""in_sequence"": 112}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,9,0.0521,,0.0023,0.1019,0.0498,96,5,0,0.0521,"{""correct"": 5, ""in_sequence"": 91}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,CVQ,ordinal,10,0.0156,,0.0,0.0639,0.0483,64,1,0,0.0156,"{""correct"": 1, ""in_sequence"": 63}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,CVQ,semantic,last,0.84,,0.7889,0.8911,0.0511,200,168,0,0.84,"{""correct"": 168, ""in_sequence"": 9, ""out_of_context"": 23}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,20,FVQ,ordinal,1,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,20,IVQ,ordinal,2,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,20,IVQ,ordinal,3,0.695,,0.6316,0.7584,0.0634,200,139,0,0.695,"{""correct"": 139, ""in_sequence"": 61}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,20,IVQ,ordinal,4,0.31,,0.2463,0.3737,0.0637,200,62,0,0.31,"{""correct"": 62, ""in_sequence"": 138}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,20,IVQ,ordinal,5,0.0521,,0.0023,0.1019,0.0498,96,5,0,0.0521,"{""correct"": 5, ""in_sequence"": 91}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,20,IVQ,ordinal,6,0.0521,,0.0023,0.1019,0.0498,96,5,0,0.0521,"{""correct"": 5, ""in_sequence"": 91}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
